Zona,Provincia/Pais,Localidad,Lectura_15_04_25_al_28_04_25,Lectura_29_04_25_al_16_05_25,Lectura_17_05_25_al_02_06_25
Centro Norte,Córdoba,Las Chilcas,75,Sin datos,Sin datos
Centro Norte,Córdoba,Sebastián el Cano,160,291,251
Centro Norte,Córdoba,El Tío,12,297,Sin datos
Centro Norte,Córdoba,Colonia Tirolesa,142,Sin datos,362
Centro Norte,Córdoba,Las Astillas,80,515,553
Centro Norte,Córdoba,Mi Granja,200,143,77
Centro Norte,Córdoba,Sacanta,8,Sin datos,Trampa perdida
Centro Norte,Córdoba,Sinsacate,79,143,Sin datos
Centro Norte,Córdoba,Tala Norte,20,0,39
Centro Norte,Córdoba,Manfredi,7,506,1872
Centro Norte,Santa Fe,Ceres,362,104,834
Centro Norte,Santa Fe,Gálvez,44,29,4
Centro Norte,Santa Fe,Humboldt,5,6,3
Centro Norte,Santa Fe,Landeta,185,142,Trampa perdida
Centro Norte,Santa Fe,Piamonte,9,14,Trampa perdida
Centro Norte,Santa Fe,Susana,0,0,12
Centro Norte,Santa Fe,San Guillermo,531,407,438
Centro Norte,Santa Fe,San Jorge,0,0,Trampa perdida
Centro Norte,Santa Fe,San Vicente,430,130,409
Centro Norte,Santa Fe,Santa Clara de Saguier,15,5,8
Centro Norte,Santa Fe,Vila,115,180,191
Centro Norte,Santa Fe,López,26,33,68
Centro Norte,Santa Fe,Campo Piaggio,0,8,4
Centro Norte,Santa Fe,San Carlos Norte,2,5,2
Centro Norte,Santa Fe,El Trébol,Sin datos,46,118
Centro Norte,Santa Fe,Emilia,21,3,36
Centro Norte,Santa Fe,Gálvez,149,35,89
Centro Norte,Santa Fe,La Camila,319,483,861
Centro Norte,Santa Fe,Maria Juana,2,6,127
Centro Norte,Santa Fe,Progreso,216,268,206
Centro Norte,Santa Fe,Sastre,2,0,1
Centro Norte,Santa Fe,Helvecia,30,Sin datos,6
Centro Norte,Santa Fe,Aldao,0,0,3
Centro Norte,Santa Fe,San Jerónimo Norte,74,96,244
Centro Norte,Santa Fe,Ataliva,51,0,5
Centro Norte,Santa Fe,Bernardo de Irigoyen,27,34,Trampa perdida
Centro Norte,Santa Fe,Crispi,197,182,646
Centro Norte,Santa Fe,Esperanza,263,143,278
Centro Norte,Santa Fe,Moisés Ville,74,113,62
Centro Norte,Santa Fe,Rincón de Ávila,286,264,169
Centro Norte,Santa Fe,San Fabián,0,14,Trampa perdida
Centro Norte,Santa Fe,San Martin de las Escobas,270,198,840
Centro Norte,Santa Fe,Cañada Rosquín,268,25,0
Centro Norte,Santa Fe,El Trébol 4,Sin datos,10,Sin datos
Centro Norte,Córdoba,Marull,125,Trampa perdida,Trampa perdida
Centro Norte,Santa Fe,Centeno,487,801,Trampa perdida
Centro Norte,Santa Fe,Rafaela,630,326,938
Centro Norte,Santa Fe,Ceres,283,278,2080
Centro Norte,Santa Fe,San Justo,336,225,572
Centro Sur,San Luís,La Angelina,0,0,0
Centro Sur,San Luís,Nueva Galia,0,0,0
Centro Sur,San Luís,Buena Esperanza,8,16,14
Centro Sur,San Luís,Juan Jorba,6,28,32
Centro Sur,San Luís,Los molles,16,42,205
Centro Sur,San Luís,Naschel,39,102,53
Centro Sur,San Luís,San Martín,17,41,161
Centro Sur,San Luís,San Luis 1,0,0,0
Centro Sur,San Luís,Quines,46,41,718
Centro Sur,Córdoba,Ana Zumaran,62,43,18
Centro Sur,Córdoba,Cnel. Baigorria,0,27,18
Centro Sur,Córdoba,General Roca,15,35,Trampa perdida
Centro Sur,Córdoba,Gral. Cabrera,0,33,21
Centro Sur,Córdoba,La playosa,87,58,31
Centro Sur,Córdoba,Ordoñez,0,2,0
Centro Sur,Córdoba,Tosquita,0,5,17
Centro Sur,Córdoba,Arroyo Cabral,52,36,20
Centro Sur,Córdoba,Villa María,68,41,26
Centro Sur,Córdoba,Benjamín Gould,2,0,6
Centro Sur,Córdoba,Buchardo,0,0,0
Centro Sur,Córdoba,Coronel Moldes,4,16,18
Centro Sur,Córdoba,Corral de Bustos,46,10,20
Centro Sur,Córdoba,Guatimozin,Sin datos,1,2
Centro Sur,Córdoba,Idiazabal,4,2,2
Centro Sur,Córdoba,Lecueder,Sin datos,0,0
Centro Sur,Córdoba,Villa Valeria,0,0,0
Centro Sur,Córdoba,Jovita,0,0,0
Centro Sur,Córdoba,Adelia María,Sin datos,25,41
Centro Sur,Córdoba,Chilibroste,0,Sin datos,110
Centro Sur,Córdoba,Justiniano Posse,Sin datos,Sin datos,1
Centro Sur,Córdoba,Huinca Renanco,1,3,1
Centro Sur,Córdoba,Cuatro Vientos,3,22,25
Centro Sur,Córdoba,General Levalle,0,4,24
Centro Sur,Córdoba,La Carlota,1,5,13
Centro Sur,Córdoba,Melo,2,4,5
Centro Sur,Córdoba,Monte de los Gauchos,50,270,102
Centro Sur,Córdoba,Punta del Agua,4,Sin datos,94
