localidad,provincia,region,temporada,max_capturas,mean_capturas,n_lecturas,n_detecciones,target
carios tejedor,Buenos Aires,CENTRO SUR,2024-2025,0.0,0.0,1,0,0
carlos tejedor,Buenos Aires,CENTRO SUR,2024-2025,6.0,0.14285714285714285,56,3,1
carlos tejedor,Buenos Aires,CENTRO SUR,2025-2026,6.0,1.4545454545454546,11,6,1
carmen de areco,Buenos Aires,CENTRO SUR,2024-2025,0.0,0.0,36,0,0
carrilobo,Córdoba,CENTRO NORTE,2024-2025,105.0,7.487179487179487,39,18,1
carrilobo,Córdoba,CENTRO NORTE,2025-2026,108.0,12.568181818181818,44,21,1
casares,Santiago Del Estero,NEA,2025-2026,1.0,0.2857142857142857,7,2,0
casbas,Buenos Aires,CENTRO SUR,2024-2025,0.0,0.0,56,0,0
casbas,Buenos Aires,CENTRO SUR,2025-2026,0.0,0.0,9,0,0
casey,Buenos Aires,CENTRO SUR,2024-2025,0.0,0.0,54,0,0
casey,Buenos Aires,CENTRO SUR,2025-2026,1.0,0.05405405405405406,37,2,0
casilda,Santa Fe,CENTRO NORTE,2024-2025,0.0,0.0,3,0,0
castelli,Chaco,NEA,2024-2025,1.0,0.5,6,3,0
castelli,Chaco,NEA,2025-2026,54.0,10.36,25,16,1
catriló,Buenos Aires,CENTRO SUR,2024-2025,2.0,0.21052631578947367,38,5,0
catriló,Buenos Aires,CENTRO SUR,2025-2026,1.0,0.02,50,1,0
catriló,La Pampa,CENTRO SUR,2024-2025,0.0,0.0,18,0,0
cayasto,Santa Fe,CENTRO NORTE,2025-2026,150.0,17.666666666666668,12,12,1
cañada de gómez,Santa Fe,CENTRO SUR,2024-2025,34.0,3.7254901960784315,51,18,1
cañada de gómez,Santa Fe,CENTRO SUR,2025-2026,34.0,2.0851063829787235,47,11,1
cañada de luque,Córdoba,CENTRO NORTE,2024-2025,427.0,23.271186440677965,59,26,1
cañada de luque,Córdoba,CENTRO NORTE,2025-2026,427.0,18.625,48,19,1
cañada rosquín,Santa Fe,CENTRO NORTE,2024-2025,406.0,52.964285714285715,56,25,1
cañada rosquín,Santa Fe,CENTRO NORTE,2025-2026,51.0,5.604166666666667,48,14,1
cañada seca,Córdoba,CENTRO SUR,2024-2025,2.0,0.14285714285714285,42,3,0
ceibalito,Salta,NOA,2024-2025,1520.0,149.03773584905662,53,32,1
ceibalito,Salta,NOA,2025-2026,1520.0,126.58536585365853,41,24,1
cejolao,Santiago Del Estero,NEA,2025-2026,580.0,19.933333333333334,30,7,1
centeno,Santa Fe,CENTRO NORTE,2024-2025,801.0,99.63461538461539,52,19,1
