localidad,provincia,region,temporada,lat,lon,dist_zona_endemica_km,oni_invierno,heladas_count,heladas_severas_count,temp_min_abs,temp_media_invierno,temp_min_media_invierno,dias_tmin_gt_10,dias_tmin_gt_15,dias_tmin_gt_18,gdd_base10,gdd_base0_negativo,rh_mean_invierno,precip_total_invierno,dias_con_lluvia,wind_mean_invierno,wind_max_invierno,wind_norte_ratio,temp_media_primavera,temp_min_media_primavera,dias_tmin_gt_15_primavera,dias_tmin_gt_18_primavera,gdd_base10_primavera,rh_mean_primavera,precip_total_primavera,wind_mean_primavera,dist_nearest_outbreak_km,dist_nearest_high_outbreak_km,n_outbreaks_within_100km,n_outbreaks_within_200km,prev_max_capturas,prev_mean_capturas,prev_target,prev_n_detecciones,max_capturas,mean_capturas,n_lecturas,n_detecciones,target
aldao,Santa Fe,CENTRO NORTE,2024-2025,-32.7046372,-60.8159601,780.9353739875155,0.08,3,0,-1.5,12.161956521739132,8.056521739130435,28,9,3,277.29999999999995,-2.8,73.1195652173913,76.8,12,11.816304347826087,36.9,0.2391304347826087,19.25573770491803,13.972131147540981,28,6,564.6,63.09836065573771,81.4,12.970491803278687,9999.0,9999.0,0,0,0.0,0.0,0,0,4.0,0.3333333333333333,57,9,0
aldao,Santa Fe,CENTRO NORTE,2025-2026,-32.7046372,-60.8159601,780.9353739875155,-0.14,3,0,-2.2,11.354347826086958,7.41195652173913,17,3,0,191.09999999999997,-3.4000000000000004,77.8586956521739,247.20000000000002,17,10.756521739130434,38.4,0.30434782608695654,17.27377049180328,12.277049180327868,14,3,446.7,69.24590163934427,142.5,12.60327868852459,4.546858022137611,23.11505951869409,37,87,4.0,0.16666666666666666,0,9,5.0,2.838709677419355,31,28,1
aldao,Santa Fe,LITORAL,2024-2025,-32.7046372,-60.8159601,780.9353739875155,0.08,3,0,-1.5,12.161956521739132,8.056521739130435,28,9,3,277.29999999999995,-2.8,73.1195652173913,76.8,12,11.816304347826087,36.9,0.2391304347826087,19.25573770491803,13.972131147540981,28,6,564.6,63.09836065573771,81.4,12.970491803278687,9999.0,9999.0,0,0,0.0,0.0,0,0,0.0,0.0,1,0,0
alejandra,Santa Fe,NEA,2024-2025,-29.9091987,-59.82723,629.099539583835,0.08,0,0,0.8,15.022826086956524,11.113043478260868,53,22,10,493.79999999999995,0.0,72.97826086956522,86.79999999999998,9,12.651086956521743,36.6,0.1956521739130435,20.86229508196721,15.81639344262295,35,16,662.6,68.8688524590164,141.1,13.488524590163935,9999.0,9999.0,0,0,0.0,0.0,0,0,176.0,26.607843137254903,51,26,1
alejandra,Santa Fe,NEA,2025-2026,-29.9091987,-59.82723,629.099539583835,-0.14,1,0,-0.1,13.422826086956523,8.965217391304348,37,4,2,344.9,-0.1,76.59782608695652,191.8,17,10.992391304347825,31.8,0.20652173913043478,18.98032786885246,13.898360655737703,23,9,548.5,70.1639344262295,228.6,12.368852459016392,0.0,0.0,9,27,176.0,26.607843137254903,1,26,51.0,9.333333333333334,9,8,1
alto verde,Tucumán,NOA,2024-2025,-27.1176529,-65.4838827,45.15790048416476,0.08,1,0,-0.2,12.633695652173913,7.952173913043478,31,1,0,289.9,-0.2,70.79347826086956,64.7,12,5.785869565217391,19.1,0.16304347826086957,20.511475409836066,15.363934426229509,32,16,641.2000000000002,64.65573770491804,322.49999999999994,6.572131147540984,9999.0,9999.0,0,0,0.0,0.0,0,0,254.0,62.42105263157895,57,41,1
alto verde,Tucumán,NOA,2025-2026,-27.1176529,-65.4838827,45.15790048416476,-0.14,0,0,0.1,13.011956521739126,8.470652173913043,25,1,0,299.2,0.0,69.67391304347827,87.89999999999999,15,5.504347826086955,23.5,0.06521739130434782,19.844262295081972,14.190163934426227,29,8,600.5000000000001,57.75409836065574,172.6,6.675409836065574,0.0,0.0,30,52,254.0,62.42105263157895,1,41,372.0,123.78260869565216,46,46,1
ambrosetti,Santa Fe,NEA,2024-2025,-32.9313606,-60.7377669,805.9697478568175,0.08,5,0,-2.5,11.92608695652174,7.66195652173913,25,10,3,267.3,-6.300000000000001,71.94565217391305,79.49999999999999,12,11.942391304347826,36.7,0.2608695652173913,18.97049180327869,13.545901639344262,26,5,547.1999999999999,62.77049180327869,132.4,12.975409836065573,9999.0,9999.0,0,0,0.0,0.0,0,0,205.0,35.67307692307692,52,22,1
ambrosetti,Santa Fe,NEA,2025-2026,-32.9313606,-60.7377669,805.9697478568175,-0.14,3,0,-3.0,11.167391304347827,6.9576086956521745,16,2,0,183.19999999999996,-4.8,76.48913043478261,257.1,15,9.873913043478261,36.4,0.31521739130434784,17.145901639344263,11.895081967213113,12,3,440.4,67.49180327868852,181.5,11.552459016393442,0.0,0.0,34,84,205.0,35.67307692307692,1,22,205.0,17.20408163265306,49,26,1
ambrosio,Corrientes,LITORAL,2024-2025,-28.2266753,-58.7750307,653.0846070824812,0.08,0,0,0.4,16.703260869565216,12.567391304347826,57,39,20,640.9999999999999,0.0,72.5,154.10000000000002,15,14.878260869565217,40.6,0.2391304347826087,21.847540983606557,16.76885245901639,42,23,722.7,70.59016393442623,195.2,15.40327868852459,9999.0,9999.0,0,0,0.0,0.0,0,0,212.0,19.4390243902439,41,38,1
